,ROC-AUC,Gini,AUC-PR,Precision (Default),Recall (Default),F1 (Default)
baseline,0.8225011959164998,0.6450023918329997,0.7292726568310437,0.9446508172362555,0.45877683564856575,0.6176077717061323
tuned_logistic_regression,0.8183851727276102,0.6367703454552205,0.7171510609058704,0.6023329798515377,0.6148295147032293,0.6085170966877957
Decision Tree,0.7797593907594939,0.5595187815189877,0.644404929291116,0.5497715404699739,0.6077936135666606,0.5773284208722474
Random_forest,0.8553859866824766,0.7107719733649531,0.7671704307033086,0.5796932067202337,0.715857838715497,0.6406199547949629
lightgbm,0.884298617840438,0.7685972356808759,0.8173848558496299,0.6920673494185038,0.7192855854230561,0.7054140127388535
xgboost,0.8761564552425143,0.7523129104850286,0.8062376660437575,0.85526966848095,0.6236694930543027,0.7213354199269693
catBoost,0.8802556800554684,0.7605113601109368,0.8098936275176482,0.6976702827672061,0.7079949467605126,0.7027946972411322
